algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score,TimeToBuild,No Skill,F-Measure,AUC,CrossValidation
KNeighborsClassifier,93,7,7,63.8,55.9,71.7,57.9,0,0.5,0.89,0.86,
GaussianNB,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0,0.5,0.95,0.93,
SGDClassifier,91.2,8.8,8.8,54.8,49.4,65.6,50.2,0,0.5,0.88,0.83,
ExtraTreeClassifier,94.7,5.3,5.3,72.9,67.3,78.9,66.3,0,0.5,0.94,0.9,
DecisionTreeClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.01,0.5,0.95,0.93,
MLPClassifier,93,7,7,63.8,58.6,71.2,63.3,0.46,0.5,0.87,0.85,
RidgeClassifierCV,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.03,0.5,0.95,0.93,
RidgeClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.02,0.5,0.95,0.93,
GaussianProcessClassifier,82.5,17.5,17.5,9.5,19.7,34.8,22.4,0.15,0.5,0.71,0.58,
AdaBoostClassifier,100,0,0,100,100,100,100,0.16,0.5,1,1,
GradientBoostingClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.14,0.5,0.95,0.93,
BaggingClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.05,0.5,0.95,0.93,
ExtraTreesClassifier,98.2,1.8,1.8,91,88.6,92.7,87.3,0.01,0.5,0.99,0.97,
RandomForestClassifier,98.2,1.8,1.8,91,85.5,92.6,87,0.02,0.5,0.97,0.97,
CalibratedClassifierCV,93,7,7,63.8,55.9,71.7,57.9,0.07,0.5,0.89,0.86,
LinearDiscriminantAnalysis,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0,0.5,0.95,0.93,
LinearSVC,87.7,12.3,12.3,36.7,38.8,50.9,45.6,0.03,0.5,0.77,0.7,
LogisticRegression,98.2,1.8,1.8,91,85.5,92.6,87,0.01,0.5,0.97,0.97,
LogisticRegressionCV,98.2,1.8,1.8,91,85.5,92.6,87,0.91,0.5,0.97,0.97,
NearestCentroid,96.5,3.5,3.5,81.9,75.2,85.3,77.9,0,0.5,0.93,0.93,
Perceptron,87.7,12.3,12.3,36.7,39.9,54.4,39.4,0,0.5,0.85,0.77,
QuadraticDiscriminantAnalysis,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0,0.5,0.95,0.93,
MultinomialNB,87.7,12.3,12.3,36.7,35.8,52.9,37.8,0,0.5,0.81,0.74,
