algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score,TimeToBuild,No Skill,F-Measure,AUC,CrossValidation
KNeighborsClassifier,92.6,7.4,7.4,68.3,60.1,72.4,61,0,0.5,0.91,0.9,
GaussianNB,93.7,6.3,6.3,72.9,64.2,76.1,64.6,0,0.5,0.93,0.91,
SGDClassifier,91.6,8.4,8.4,63.8,58.9,68.7,61.5,0,0.5,0.89,0.87,
ExtraTreeClassifier,93.3,6.7,6.7,71.3,63.7,74.9,63.4,0,0.5,0.93,0.91,
DecisionTreeClassifier,94.7,5.3,5.3,77.4,69.5,79.9,69.2,0,0.5,0.95,0.93,
MLPClassifier,91.2,8.8,8.8,62.3,55.2,67.7,55.3,0.06,0.5,0.9,0.88,
RidgeClassifierCV,95.8,4.2,4.2,81.9,74.6,83.7,75.9,0,0.5,0.94,0.94,
RidgeClassifier,95.1,4.9,4.9,78.9,71,81.1,72.1,0,0.5,0.94,0.93,
GaussianProcessClassifier,73.7,26.3,26.3,-13.1,14.7,19.2,18.6,0.04,0.5,0.65,0.47,
AdaBoostClassifier,94.7,5.3,5.3,77.4,69.5,79.9,69.2,0.12,0.5,0.95,0.93,
GradientBoostingClassifier,95.8,4.2,4.2,81.9,74.1,83.7,73.9,0.09,0.5,0.96,0.94,
BaggingClassifier,95.4,4.6,4.6,80.4,72,82.4,72.1,0.03,0.5,0.95,0.94,
ExtraTreesClassifier,95.1,4.9,4.9,78.9,70.3,81.1,71,0.01,0.5,0.94,0.93,
RandomForestClassifier,95.4,4.6,4.6,80.4,71.8,82.4,72.2,0.01,0.5,0.95,0.94,
CalibratedClassifierCV,93,7,7,69.8,65.3,73.5,67.8,0.05,0.5,0.9,0.89,
LinearDiscriminantAnalysis,95.8,4.2,4.2,81.9,74.6,83.7,75.9,0,0.5,0.94,0.94,
LinearSVC,93,7,7,69.8,65.3,73.5,67.8,0.02,0.5,0.9,0.89,
LogisticRegression,94.7,5.3,5.3,77.4,68.7,79.9,69.2,0.01,0.5,0.94,0.93,
LogisticRegressionCV,95.1,4.9,4.9,78.9,70.8,81.2,70.7,0.5,0.5,0.95,0.93,
NearestCentroid,90.5,9.5,9.5,59.3,54.6,65.2,57.1,0,0.5,0.88,0.86,
Perceptron,83.5,16.5,16.5,29.1,44.6,44.7,43.5,0,0.5,0.86,0.81,
QuadraticDiscriminantAnalysis,93.7,6.3,6.3,72.9,65.8,76.2,65.3,0,0.5,0.94,0.92,
MultinomialNB,89.8,10.2,10.2,56.3,50.3,63,51.6,0,0.5,0.88,0.85,
