algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score,TimeToBuild,No Skill,F-Measure,AUC,CrossValidation
KNeighborsClassifier,91.8,8.2,8.2,63.8,56.1,69.4,56.8,0,0.5,0.9,0.88,
GaussianNB,93.6,6.4,6.4,71.5,63.3,75.6,63.4,0,0.5,0.93,0.91,
SGDClassifier,91.8,8.2,8.2,63.8,57.4,69.5,57,0,0.5,0.91,0.88,
ExtraTreeClassifier,93.6,6.4,6.4,71.5,64.6,75.6,64.1,0,0.5,0.93,0.91,
DecisionTreeClassifier,88.9,11.1,11.1,50.8,48.5,60.1,47.9,0.01,0.5,0.89,0.85,
MLPClassifier,91.2,8.8,8.8,61.2,53.9,67.4,54.8,0.21,0.5,0.89,0.87,
RidgeClassifierCV,95.9,4.1,4.1,81.9,74,84,75.2,0.04,0.5,0.94,0.94,
RidgeClassifier,95.3,4.7,4.7,79.3,70.8,81.9,71.7,0,0.5,0.94,0.93,
GaussianProcessClassifier,77.8,22.2,22.2,1.7,18.2,27.8,21,0.08,0.5,0.7,0.58,
AdaBoostClassifier,95.9,4.1,4.1,81.9,73.6,84.1,73.8,0.14,0.5,0.95,0.94,
GradientBoostingClassifier,95.3,4.7,4.7,79.3,71.1,81.9,71.1,0.12,0.5,0.95,0.93,
BaggingClassifier,93.6,6.4,6.4,71.5,63,75.5,63.6,0.04,0.5,0.92,0.9,
ExtraTreesClassifier,95.3,4.7,4.7,79.3,70.8,81.9,71.7,0.01,0.5,0.94,0.93,
RandomForestClassifier,94.7,5.3,5.3,76.7,68.8,79.8,68.6,0.02,0.5,0.94,0.92,
CalibratedClassifierCV,93,7,7,68.9,62,73.3,64.3,0.06,0.5,0.9,0.89,
LinearDiscriminantAnalysis,96.5,3.5,3.5,84.5,76.8,86.2,77.7,0,0.5,0.95,0.95,
LinearSVC,93.6,6.4,6.4,71.5,66.4,75.4,69.1,0.03,0.5,0.91,0.9,
LogisticRegression,95.9,4.1,4.1,81.9,73.6,84.1,73.8,0.01,0.5,0.95,0.94,
LogisticRegressionCV,95.3,4.7,4.7,79.3,71.1,81.9,71.1,0.51,0.5,0.95,0.93,
NearestCentroid,90.6,9.4,9.4,58.6,53.9,65.2,56.9,0,0.5,0.87,0.85,
Perceptron,91.8,8.2,8.2,63.8,56.1,69.4,56.8,0,0.5,0.9,0.88,
QuadraticDiscriminantAnalysis,94.7,5.3,5.3,76.7,69.6,79.8,69.1,0,0.5,0.95,0.93,
MultinomialNB,90.1,9.9,9.9,56,49.7,63.5,50.9,0,0.5,0.88,0.85,
